@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"#terremotochile @reportwiteros @ tvn24h come è la situazione in tiruña ??? per favore !! * #terremotochile @reportwiteros @ tvn24h","5","5","0","132","14","2","1"
"questo negozio è appena caduto nelle persone che stanno transitando per la cura http://url.ie/58eo","4","3","1","99","16","0","1"
"immagini di talcahuano sulla tv vedi diversi campi","4","2","0","50","8","0","1"
"conto 362883 della banca di stato per aiutare coloro che sono stati lasciati senza niente","3","3","3","89","15","0","1"
"il terremoto ha causato la fuga di oltre 200 prigionieri dal carcere di chillá nel Cile","7","1","0","88","16","0","1"
"@biobio la famiglia yañes moraa in cerca della famiglia di sandoval baltierra (tia nena) situata nella città di hualpen","9","3","0","121","20","0","1"
"rt @ejercito_chile: rinforzato regiment nº 7 u201cchacabucou201d ha supportato l&#39;elaborazione di catastali per onemi nel settore della felicità.","6","3","1","150","20","0","1"
"qualcuno sa cosa succede con il chenquenco. ci sono parenti in quella zona e l&#39;informazione è nulla","4","4","4","104","18","0","1"
"qualcuno sa di jeannette o mariella saavedra alvarez sono di concezione","3","3","1","71","11","0","1"
"rt @dariogallo: rt @payitoweb: evo dona metà del suo stipendio al Cile. bit.ly/ddj7ji (via @elmostrador) &lt;= facciamo qualcosa in modo che ...","8","4","3","145","23","0","1"
"rt @ accogliente: il bilancio delle vittime del terremoto in Cile è salito a 214 http://is.gd/9lttv","6","1","0","100","17","0","1"
"rt @bubisonica: @ncarvajal abbiamo bisogno di sapere delle mie zie di consolazione e brigida orellana gonzalez di santa rosa de lavaderos in #talca","7","3","1","147","23","1","1"
"rt @rsiderakis: per coloro che hanno bisogno di viaggiare con Google Maps, i dettagli di consegna delle rotte http://bit.ly/dbazay","6","3","3","130","22","0","1"
"@acordiviola che si sente parlare di tsunami? Com&#39;è tutto con te e la tua famiglia?","2","3","4","88","16","0","1"
