@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"#terremotochile @reportwiteros @tvn24h como es la situacion en tirua ??? porfavor !! * #terremotochile @reportwiteros @tvn24h comprise","6","2","0","125","13","2","1"
"rt @ddzuniga: rt @oscarcontardo: ¿alguien ha sabido algo de @jisa39 ? // lo mismo quiero saber yoooo exist know want know","4","3","2","101","15","0","1"
"se acaba de caer esta tienda a las personas que se encuentran transitando cuidado http://url.ie/58eo surface finish move fall mercantile_establishment shop being person causal_agency subjectivism subject encounter go_across move_through professional caregiver word","3","2","3","100","18","0","1"
"mañana estimados nos juntamos a las 9.00 fuera de la gobernación para organizar la ayuda en #curico #terremotochile (rt) tomorrow assemble position rulership create form activity assistance","8","2","1","122","22","2","1"
"imágenes de talcahuano en tvn se ven varios campamento representation image Artifact_(error) port Talcahuano commune_of_Chile television_station Televisión_Nacional_de_Chile mascot perceive see habitation camping field_sport","3","1","2","55","10","0","1"
"rt @tele13online: rt @elxzer0 urgente en constitucion apareció cristian beas lopez de 16 aÑos. es discapacitado y esta solo en esa ciudad pressing principle constitution law law Legal_transaction System calque appear assimilator student enrollee person be lonely settlement City settlement","8","4","0","139","23","0","1"
"cuenta 362883 del banco del estado para ayudar a los que quedaron sin nada find count reserve bank support aid have keep","2","3","2","74","14","0","1"
"rt @elnacionalweb embajador de chile en venezuela: ayuda humanitaria llegará en las próximas horas a las zonas afectadas ambassador ambassadress South_American_country Chile nation country South_American_country Venezuela nation country support aid assistance succor war aid economics aid_agency Działania law doctrine humanitarianism ethical_code arrive coming time standard_time part zone affected","7","1","0","122","19","0","1"
"rt @carolinamillan: rt @juanpablotapia: por favor si alguien sabe de marco raineri y lorena romero en concepción que avise. (rt!) benignity favor know framework frame idea concept object entity abstract_object inform warn","7","3","3","130","21","0","1"
"elevan a 214 las víctimas en el terremoto de chile en cadenaser.com: http://bit.ly/aqdvrl via @addthis increase raise unfortunate victim geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography South_American_country Chile nation country","6","1","0","103","20","0","1"
"terremoto provocó fuga de màs de 200 reos de la prisión de chillá en chile geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography rile harass escape breakout Serial_(radio_and_television) correctional_institution prison correctional_institution prison South_American_country Chile nation country","7","1","0","78","17","0","1"
"@biobio la familia yañes moraa busca a la familia baltierra sandoval (tia nena) ubicados en la ciudad de hualpen social_group family clan person people search social_group family clan person people taxon Tia settlement City settlement commune_of_Chile Hualpén City","5","3","0","113","20","0","1"
"rt @cunerodesatan: @racsolin @lunetaz   que temblo en chile???&lt;-- y si fue fuerte vee http://bit.ly/dw7q80 capsicum cayenne_pepper spice taxon fruit Common_name vine comprise strong","3","3","0","109","18","0","1"
"rt @ejercito_chile: regimiento reforzado nº 7 u201cchacabucou201d ha apoyando la elaboración de catastros para la onemi en el sector de dichato. army_unit regiment military_unit title fortify reenforce exist give support creating_from_raw_materials manufacturing Commodity_production industry production body occupational_group","10","1","0","146","22","0","1"
"rt @pepepunk: llamado de protecccion civil para que la gente no vaya a las playas del pacifico mexicano #tsunami #terremoto #mexico come accost civilian song Gente move formation beach area shore landform republic Mexico North_American_country nation country disaster tsunami wave natural_disaster geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography","8","1","0","131","21","3","1"
"en estos momentos veo mucho inmigrante peruano en las calles con miedo por regresar a los precarios cités en el centro de santiago. measure point perceive see immigrant Peruvian thoroughfare street architectural_structure state_highway timidity cold_feet change_by_reversal revert say observe point midpoint Point_(geometry) commune_of_Chile Santiago_(commune)","8","2","0","132","24","0","1"
"en 15 minutos llega hola a hawai luego del terremoto en chile angular_unit minute_of_arc unit_of_angle unit arrive after geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography disaster 2010_Cauquenes_earthquake tsunami Chile earthquake history South_American_country Chile nation country","5","1","0","61","12","0","1"
"alguien sabe que pasa con chenquenco. hay familiares en esa zona y la imformacion es nula know pass be fauna familiar_spirit spirit entity part zone comprise invalid","4","2","1","89","16","0","1"
"alguien sabe de jeannette o de mariella saavedra alvarez ellos son de concepcion know comprise","3","1","2","80","13","0","1"
"@reportwiteros en chiloé el terremoto también se sintió de forma muy fuerte pero sin desgracias personales ni daños mayore geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography perceive feel structure pattern pattern Structure gradation component idea form strong fate bad_luck personal change damage","5","2","1","126","21","0","1"
"rt @soho_doll: en 15 minutos todos los chilenos en estocolmo reunidos en sergels torg apoyando a chile #terremotochile @jumastorga @star ... angular_unit minute_of_arc unit_of_angle unit South_American Chilean national_capital Stockholm City city_with_hundreds_of_thousands_of_inhabitants capital provincial_capital roundabout Sergels_torg square give support capsicum cayenne_pepper spice taxon fruit Common_name vine tabloid_(newspaper_format) Star_(periódico)","7","2","1","140","20","1","1"
"rt @dariogallo: rt @payitoweb: evo le dona la mitad de su sueldo a chile. bit.ly/ddj7ji (vía @elmostrador) &lt;=hagamos algo para que... friedcake doughnut dessert bakery_product food confectionery common_fraction half number Irreducible_fraction coin Sueldo_(moneda) South_American_country Chile nation country URL_shortening Bitly service execute","10","3","3","137","25","0","1"
"rt @elcomercio: el número de muertos por el terremoto en chile se elevó a 214 http://is.gd/9lttv definite_quantity number Mathematical_object Body_count dead slain geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography disaster 2010_Cauquenes_earthquake tsunami Chile earthquake history South_American_country Chile nation country increase raise","7","1","1","98","20","0","1"
"rt @bubisonica: @ncarvajal   necesitamos saber de mis tias consuelo y brigida orellana gonzalez de santa rosa de lavaderos en #talca demand want know father Theias comfort name Brígida angelic shrub rose first_description_(of_a_taxon) taxon perennial laundry washhouse","8","2","0","132","20","1","1"
"rt @rsiderakis: para quienes necesitan viajar google maps entrega detalles de las rutas http://bit.ly/dbazay be want move website Google_Maps web_application Web_mapping application technology fetch deliver discourse detail rosid_dicot_genus Ruta genus evergreen first_description_(of_a_taxon) flora taxon","5","3","1","108","17","0","1"
"@acordiviola que se escucha de tsunami? como esta todo contigo y tu familia ? perceive listen disaster tsunami wave natural_disaster social_group family clan person people","3","2","2","77","13","0","1"
