@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"Purtroppo una vittima a Bondeno (Fe)per crollo di un capannone industriale #terremoto unfortunate victim Bondeno_(Gonzaga) mass_wasting Slump_(geology) outbuilding shed architectural_engineering industrial geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography Slump_(geology) http://dbpedia.org/resource/Category:Geomorphology http://dbpedia.org/resource/Category:Soil http://dbpedia.org/resource/Slump_(geology) http://dbpedia.org/resource/Slump_(geology) http://dbpedia.org/resource/Category:Garden_features Shed http://dbpedia.org/resource/Shed http://dbpedia.org/resource/Category:Architectural_elements http://dbpedia.org/resource/Category:Gardening_aids http://dbpedia.org/resource/Category:Agricultural_buildings http://dbpedia.org/resource/Shed Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake","5","1","0","85","13","1","1"
"Terremoto in Abruzzo I morti finora sono 27 http://ff.im/1WML4 geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake Italian_region Abruzzi_e_Molise Geographical_feature change death biology faith being property process_(computing) event_(philosophy) philosophy as_yet Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Category:2009_earthquakes http://dbpedia.org/ontology/Earthquake http://schema.org/Event http://dbpedia.org/resource/Category:L'Aquila 2009_L'Aquila_earthquake http://dbpedia.org/resource/Category:2009_in_Italy http://dbpedia.org/resource/2009_L'Aquila_earthquake http://dbpedia.org/resource/Category:Earthquakes_in_Italy http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/NaturalEvent http://dbpedia.org/resource/Category:21st_century_in_Abruzzo http://dbpedia.org/resource/2009_L'Aquila_earthquake http://dbpedia.org/resource/Category:History_of_Abruzzo Abruzzi_e_Molise http://dbpedia.org/resource/Category:Geographical,_historical_and_cultural_regions_of_Italy http://dbpedia.org/resource/Category:History_of_Molise http://dbpedia.org/resource/Abruzzi_e_Molise http://dbpedia.org/resource/Abruzzi_e_Molise http://dbpedia.org/resource/Category:Death Death http://dbpedia.org/resource/Death http://dbpedia.org/resource/Category:Senescence http://dbpedia.org/resource/Category:Demography http://dbpedia.org/resource/Death","4","1","0","62","12","0","1"
"#alluvione #Senigallia, 2 le vittime. Un 86enne d'infarto, un 83enne ipovedente a Borgo Bicchia, disperso e poi trovato morto geological_phenomenon flood hydrology rain natural_disaster river water phenomenon unfortunate victim pathology infarction settlement village administrative_division settlement residential_area City laggard straggler encounter change death biology faith being property process_(computing) event_(philosophy) philosophy http://dbpedia.org/resource/Flood http://dbpedia.org/resource/Category:Flood Flood http://dbpedia.org/resource/Category:Bodies_of_water http://dbpedia.org/resource/Category:Basic_meteorological_concepts_and_phenomena http://dbpedia.org/resource/Category:Weather_hazards http://dbpedia.org/resource/Category:Hydrology http://dbpedia.org/resource/Flood http://dbpedia.org/ontology/Disease http://dbpedia.org/resource/Category:Gross_pathology Infarction http://dbpedia.org/ontology/Album http://dbpedia.org/resource/Infarction http://dbpedia.org/resource/Category:Causes_of_death http://dbpedia.org/resource/Infarction http://dbpedia.org/resource/Village http://dbpedia.org/resource/Category:Types_of_country_subdivisions http://dbpedia.org/resource/Category:Types_of_populated_places http://dbpedia.org/resource/Category:Urban_geography Village http://dbpedia.org/resource/Category:Villages http://dbpedia.org/resource/Category:Rural_geography http://dbpedia.org/ontology/Settlement http://dbpedia.org/resource/Category:Settlement_geography http://dbpedia.org/resource/Village http://dbpedia.org/resource/Category:Death Death http://dbpedia.org/resource/Death http://dbpedia.org/resource/Category:Senescence http://dbpedia.org/resource/Category:Demography http://dbpedia.org/resource/Death","7","5","0","125","20","2","1"
"#terremoto Finale Emilia crollo  di un'abitazione dopo  l'ultima scossa geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography quality ultimate comune Finale_Emilia Historical_region Emilia_(region_of_Italy) happening crash building house home Structure residential_building reflex shock Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Finale_Emilia http://dbpedia.org/resource/Category:Cities_and_towns_in_Emilia-Romagna http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Location http://schema.org/Place http://dbpedia.org/resource/Italy http://dbpedia.org/ontology/Settlement Finale_Emilia http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/resource/Finale_Emilia Emilia_(region_of_Italy) http://dbpedia.org/resource/Emilia_(region_of_Italy) http://dbpedia.org/resource/Category:Geographical,_historical_and_cultural_regions_of_Italy http://dbpedia.org/resource/Category:History_of_Emilia-Romagna http://dbpedia.org/ontology/Settlement http://dbpedia.org/resource/Emilia_(region_of_Italy) http://dbpedia.org/ontology/Building http://dbpedia.org/resource/Category:Houses http://dbpedia.org/resource/Category:Home http://dbpedia.org/resource/House House http://dbpedia.org/resource/Category:Structural_system http://dbpedia.org/resource/Category:Housing http://dbpedia.org/resource/House","3","2","0","71","11","1","1"
"3000 sfollati e 6 morti. Il triste bilancio del terremoto in Emilia #terremoto refugee displaced_person legal_entity change death biology faith being property process_(computing) event_(philosophy) philosophy sad record balance_sheet document document document document process_(computing) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2012_Northern_Italy_earthquakes Historical_region Emilia_(region_of_Italy) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography Displaced_person http://dbpedia.org/resource/Category:Persecution http://dbpedia.org/resource/Category:Homelessness http://dbpedia.org/resource/Category:Refugees_by_type http://dbpedia.org/resource/Category:Ethnic_and_religious_slurs http://dbpedia.org/resource/Displaced_person http://dbpedia.org/ontology/EthnicGroup http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Category:Forced_migration http://dbpedia.org/resource/Category:Human_migration http://dbpedia.org/resource/Displaced_person http://dbpedia.org/resource/Category:Death Death http://dbpedia.org/resource/Death http://dbpedia.org/resource/Category:Senescence http://dbpedia.org/resource/Category:Demography http://dbpedia.org/resource/Death http://dbpedia.org/resource/Category:Balance_sheet Balance_sheet http://dbpedia.org/resource/Category:Accounting_terminology http://dbpedia.org/resource/Balance_sheet http://dbpedia.org/ontology/SoccerClubSeason http://dbpedia.org/resource/Balance_sheet Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake 2012_Northern_Italy_earthquakes http://dbpedia.org/resource/Category:2012_earthquakes http://dbpedia.org/ontology/Earthquake http://schema.org/Event http://dbpedia.org/resource/2012_Northern_Italy_earthquakes http://dbpedia.org/resource/Category:Earthquakes_in_Italy http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/NaturalEvent http://dbpedia.org/resource/Category:History_of_Emilia-Romagna http://dbpedia.org/resource/Category:2012_in_Italy http://dbpedia.org/resource/2012_Northern_Italy_earthquakes Emilia_(region_of_Italy) http://dbpedia.org/resource/Emilia_(region_of_Italy) http://dbpedia.org/resource/Category:Geographical,_historical_and_cultural_regions_of_Italy http://dbpedia.org/resource/Category:History_of_Emilia-Romagna http://dbpedia.org/ontology/Settlement http://dbpedia.org/resource/Emilia_(region_of_Italy) Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake","5","1","0","78","13","1","1"
"PERICOLO!! #terremoto #xrum CROLLO SOFFITTO http://t.co/S35f1VOK danger risk event_(philosophy) management geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography mass_wasting Slump_(geology) upper_surface ceiling Bauteil_(Technik) http://dbpedia.org/resource/Category:Emergency_management http://dbpedia.org/ontology/ProgrammingLanguage http://dbpedia.org/resource/Category:Hazards http://dbpedia.org/resource/Category:Safety http://dbpedia.org/resource/Category:Risk Hazard http://dbpedia.org/resource/Hazard http://dbpedia.org/resource/Hazard Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake Slump_(geology) http://dbpedia.org/resource/Category:Geomorphology http://dbpedia.org/resource/Category:Soil http://dbpedia.org/resource/Slump_(geology) http://dbpedia.org/resource/Slump_(geology) http://dbpedia.org/resource/Category:Ceilings http://dbpedia.org/resource/Ceiling Ceiling http://dbpedia.org/ontology/Bone http://dbpedia.org/resource/Ceiling","4","2","0","64","9","2","1"
"#Terremoto: vigile del fuoco investito dal crollo durante l'umtima scossa geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography police_matron meter_maid authority police_officer defender firefighter profession laborer rescuer combustion fire oxidation expend invest mass_wasting Slump_(geology) reflex shock Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Category:Parking_law http://dbpedia.org/resource/Parking_enforcement_officer http://dbpedia.org/resource/Category:Parking http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Category:Law_enforcement_occupations Parking_enforcement_officer http://dbpedia.org/resource/Parking_enforcement_officer http://dbpedia.org/resource/Category:Firefighters http://dbpedia.org/resource/Category:Protective_service_occupations http://dbpedia.org/ontology/Person Firefighter http://dbpedia.org/resource/Firefighter http://dbpedia.org/resource/Firefighter http://dbpedia.org/resource/Fire Fire http://dbpedia.org/resource/Category:Fire http://dbpedia.org/resource/Category:Articles_containing_video_clips http://dbpedia.org/resource/Category:Cooking_techniques http://dbpedia.org/resource/Fire Slump_(geology) http://dbpedia.org/resource/Category:Geomorphology http://dbpedia.org/resource/Category:Soil http://dbpedia.org/resource/Slump_(geology) http://dbpedia.org/resource/Slump_(geology)","5","2","0","73","11","1","1"
"Terremoto: nuovo bilancio,235 morti: Sono 235 le vittime del terremoto che ha colpito l'Abruzzo, stando a un nuo.. http://tinyurl.com/cf5dbh geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography new record balance_sheet document document document document process_(computing) change death biology faith being property process_(computing) event_(philosophy) philosophy unfortunate victim geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography touch hit Italian_region Abruzzi_e_Molise Geographical_feature hold_out stand Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Category:Balance_sheet Balance_sheet http://dbpedia.org/resource/Category:Accounting_terminology http://dbpedia.org/resource/Balance_sheet http://dbpedia.org/ontology/SoccerClubSeason http://dbpedia.org/resource/Balance_sheet http://dbpedia.org/resource/Category:Death Death http://dbpedia.org/resource/Death http://dbpedia.org/resource/Category:Senescence http://dbpedia.org/resource/Category:Demography http://dbpedia.org/resource/Death Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Category:History_of_Abruzzo Abruzzi_e_Molise http://dbpedia.org/resource/Category:Geographical,_historical_and_cultural_regions_of_Italy http://dbpedia.org/resource/Category:History_of_Molise http://dbpedia.org/resource/Abruzzi_e_Molise http://dbpedia.org/resource/Abruzzi_e_Molise","6","3","1","140","24","0","1"
"Siete nel mio cuore...alluvione nelle Marche: 2 morti a #Senigallia. In migliaia senza corrente, decine gli sfollati http://t.co/F0PuYKxyO1 internal_organ heart organ terminology Italian_region Marche change death biology faith being property process_(computing) event_(philosophy) philosophy comune Senigallia town large_integer 1000 integer number Hyperperfect_number electrical_phenomenon electric_current electricity scalar extensive_physical_property large_indefinite_amount oodles refugee displaced_person legal_entity http://dbpedia.org/resource/Heart Heart http://dbpedia.org/resource/Category:RTT http://dbpedia.org/resource/Category:Heart http://dbpedia.org/ontology/AnatomicalStructure http://dbpedia.org/resource/Category:Organs_(anatomy) http://dbpedia.org/resource/Category:Articles_containing_video_clips http://dbpedia.org/resource/Category:Cardiac_anatomy http://dbpedia.org/resource/Heart http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Location http://dbpedia.org/ontology/Settlement http://dbpedia.org/resource/Category:NUTS_2_statistical_regions_of_the_European_Union http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/resource/Marche http://dbpedia.org/resource/Category:Wine_regions_of_Italy http://dbpedia.org/resource/Category:Picenum Marche http://dbpedia.org/resource/Category:Regions_of_Italy http://schema.org/Place http://dbpedia.org/resource/Italy http://dbpedia.org/ontology/Region http://dbpedia.org/resource/Category:Marche http://dbpedia.org/ontology/PopulatedPlace http://schema.org/AdministrativeArea http://dbpedia.org/resource/Marche http://dbpedia.org/resource/Category:Death Death http://dbpedia.org/resource/Death http://dbpedia.org/resource/Category:Senescence http://dbpedia.org/resource/Category:Demography http://dbpedia.org/resource/Death http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Location http://dbpedia.org/resource/Category:Duchy_of_the_Pentapolis http://dbpedia.org/resource/Category:Pope_Pius_IX http://dbpedia.org/resource/Senigallia http://dbpedia.org/ontology/Settlement http://dbpedia.org/resource/Category:Papal_States http://dbpedia.org/resource/Category:Castles_in_Italy Senigallia http://dbpedia.org/resource/Category:Cities_and_towns_in_the_Marche http://schema.org/Place http://dbpedia.org/resource/Italy http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/resource/Category:Senigallia http://dbpedia.org/resource/Senigallia http://dbpedia.org/resource/1000_(number) 1000_(number) http://dbpedia.org/resource/Category:1000_(number) http://dbpedia.org/resource/1000_(number) Electric_current http://dbpedia.org/ontology/Album http://dbpedia.org/resource/Category:SI_base_quantities http://dbpedia.org/resource/Electric_current http://dbpedia.org/resource/Category:Electric_current http://dbpedia.org/resource/Electric_current Displaced_person http://dbpedia.org/resource/Category:Persecution http://dbpedia.org/resource/Category:Homelessness http://dbpedia.org/resource/Category:Refugees_by_type http://dbpedia.org/resource/Category:Ethnic_and_religious_slurs http://dbpedia.org/resource/Displaced_person http://dbpedia.org/ontology/EthnicGroup http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Category:Forced_migration http://dbpedia.org/resource/Category:Human_migration http://dbpedia.org/resource/Displaced_person","10","2","0","139","22","1","1"
"Terremoto: costruzioni antisismiche? Crollate: Il nuovo Ospedale, la Prefettura, la Casa dello Studente, sono s.. http://tinyurl.com/dnjn7k geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography creating_from_raw_materials construction event_(probability_theory) group_event antiseismic new health_facility hospital institution health_facility administrative_division prefecture jurisdiction building house home Structure residential_building dormitory hall_of_residence assimilator student enrollee person Earthquake http://dbpedia.org/resource/Category:Geological_hazards http://dbpedia.org/resource/Category:Earthquakes http://dbpedia.org/resource/Category:Seismology http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Earthquake http://dbpedia.org/resource/Category:Construction Construction http://dbpedia.org/ontology/Election http://dbpedia.org/resource/Construction http://dbpedia.org/resource/Construction http://dbpedia.org/resource/Category:Hospitals http://dbpedia.org/resource/Category:Types_of_healthcare_facilities http://dbpedia.org/ontology/University http://dbpedia.org/resource/Hospital http://dbpedia.org/resource/Category:Medicine Hospital http://dbpedia.org/resource/Hospital http://dbpedia.org/resource/Category:Prefectures http://dbpedia.org/resource/Category:Types_of_country_subdivisions http://dbpedia.org/ontology/Diocese Prefecture http://dbpedia.org/resource/Prefecture http://dbpedia.org/resource/Prefecture http://dbpedia.org/ontology/Building http://dbpedia.org/resource/Category:Houses http://dbpedia.org/resource/Category:Home http://dbpedia.org/resource/House House http://dbpedia.org/resource/Category:Structural_system http://dbpedia.org/resource/Category:Housing http://dbpedia.org/resource/House http://dbpedia.org/resource/Student http://dbpedia.org/resource/Category:Students Student http://dbpedia.org/resource/Student","7","2","0","139","19","0","1"
